timestamp,position_x,position_y,angle,speed,acceleration,steering_angle,distance_from_object (cm)
12760.793397504,-0.19099880053308352,0.6732730125787084,9.410156434497452,0.1,0.0,-0.19285888234537377,0
12760.804655826,-0.19212453441053212,0.6732878914116901,9.411561722918073,0.1,0.0,-0.18849555921538794,0
12760.816058315,-0.19326470361260054,0.6733013726874119,9.412954586221838,0.1,0.0,-0.18413223608540213,0
12760.827409137,-0.19439972363181074,0.6733132536295874,9.414310737224172,0.1,0.0,-0.17976891295541633,0
12760.838688866,-0.19552764931490133,0.6733235743189223,9.415628065993522,0.1,0.0,-0.1754055898254305,0
12760.84996599,-0.1966553268509421,0.6733324417790453,9.416914651378471,0.1,0.0,-0.17104226669544467,0
12760.861395719,-0.1977982749301545,0.673339974240725,9.41818767660263,0.1,0.0,-0.16667894356545884,0
12760.872732895,-0.19893197625442213,0.6733460491305624,9.419419555018662,0.1,0.0,-0.16231562043547304,0
12760.88394429,-0.20005310600295834,0.6733507251747366,9.420607152648337,0.1,0.0,-0.1579522973054872,0
12760.895237456,-0.20118241750224572,0.673354119335062,9.421772456878234,0.1,0.0,-0.15358897417550138,0
12760.906563122,-0.2023149821262875,0.6733562349785485,9.422909951667943,0.1,0.0,-0.14922565104551555,0
12760.91832009,-0.20349067862188208,0.6733570810915838,9.424058291286284,0.1,0.0,-0.14486232791552975,0
12760.929798724,-0.20463854194345668,0.673356656772788,9.42514762043921,0.1,0.0,-0.14049900478554392,0
12760.941102984,-0.2057689668180656,0.6733550617640521,9.426188941466258,0.1,0.0,-0.1361356816555581,0
12760.952388389,-0.20689750401613013,0.6733523317833825,9.427196999636008,0.1,0.0,-0.13177235852557226,0
12760.963737076,-0.20803236615297094,0.6733484721844931,9.428178888409496,0.1,0.0,-0.12740903539558643,0
12760.975134357,-0.20917208344535024,0.6733435087496046,9.429132903476312,0.1,0.0,-0.1230457122656006,0
12760.98633945,-0.2102925772373361,0.6733376135357768,9.43003917638334,0.1,0.0,-0.11868238913561478,0
12760.997610637,-0.21141967468527031,0.6733306920853794,9.430918834751868,0.1,0.0,-0.11431906600562895,0
12761.008997032,-0.2125582863117859,0.6733227249565894,9.431775077768277,0.1,0.0,-0.10995574287564314,0
12761.020667437,-0.21372529093289386,0.6733135738431332,9.432619340084479,0.1,0.0,-0.10559241974565732,0
12761.031919613,-0.2148504666985535,0.673303871072054,9.433401085156053,0.1,0.0,-0.1012290966156715,0
12761.043208977,-0.21597935348779682,0.6732932874868053,9.434152926695166,0.1,0.0,-0.09686577348568569,0
12761.05467131,-0.21712552826411996,0.6732817047430292,9.43488318185217,0.1,0.0,-0.09250245035569987,0
12761.066024163,-0.21826074740896206,0.6732694489038433,9.435573553073862,0.1,0.0,-0.08813912722571406,0
12761.077262798,-0.21938453728654328,0.6732565850818083,9.436224282264329,0.1,0.0,-0.08377580409572824,0
12761.088606745,-0.22051884935497562,0.6732428932406911,9.436847986814938,0.1,0.0,-0.07941248096574242,0
12761.099948401,-0.22165292406150897,0.6732285346687327,9.437438330243387,0.1,0.0,-0.07504915783575661,0
12761.111488025,-0.22280678551684138,0.6732132715603438,9.438005041183159,0.1,0.0,-0.07068583470577079,0
12761.122926086,-0.22395048341370616,0.6731975389522848,9.43853300559361,0.1,0.0,-0.06632251157578498,0
12761.134214513,-0.22507921162079003,0.6731814617660433,9.439020627003101,0.1,0.0,-0.06195918844579915,0
12761.145598877,-0.22621752501066905,0.6731647266803163,9.439478552305225,0.1,0.0,-0.05759586531581333,0
